Task_ID,CPU_Usage (%),RAM_Usage (MB),Disk_IO (MB/s),Network_IO (MB/s),Priority,VM_ID,Execution_Time (s),Target (Optimal Scheduling)
50,41,1932,81,37,1,100,1.2,1
51,30,12395,92,11,2,100,9.84,0
52,45,9608,10,29,2,105,3.77,1
53,34,2163,94,11,1,105,9.86,0
54,81,699,45,9,1,104,4.19,1
55,30,12169,55,22,2,106,2.12,1
56,32,11911,71,23,2,105,9.14,0
57,86,5583,83,20,1,107,1.42,1
58,37,2748,93,11,2,103,7.65,0
59,56,4783,36,11,3,106,3.08,1
60,92,10308,57,41,1,107,8.93,0
61,61,13214,88,40,3,106,6.93,0
62,71,4624,69,26,2,109,6.28,0
63,39,4032,36,27,3,109,4.87,1
64,31,9149,21,42,3,105,5.58,0
65,43,14014,58,31,2,101,4.02,1
66,92,7216,16,31,2,108,2.52,1
67,77,14923,99,12,3,108,3.82,1
68,48,3182,15,20,3,104,7.38,0
69,56,10690,82,9,1,105,7.27,0
70,50,9098,96,8,2,106,7.77,0
71,52,3978,31,29,3,103,6.34,0
72,54,1209,59,36,3,107,2.07,1
73,32,4137,35,23,2,101,7.18,0
74,32,11953,86,23,1,105,3.06,1
75,30,12674,95,1,2,109,7.47,0
76,93,11012,30,3,3,100,9.21,0
77,60,6462,45,34,3,102,1.96,1
78,87,5448,70,49,3,105,4.66,1
79,66,10574,88,26,2,104,4.61,1
80,81,7428,60,23,3,101,8.56,0
81,65,6887,59,15,2,105,5.73,0
82,88,13815,18,21,3,100,2.62,1
83,44,6880,92,13,1,103,3.71,1
84,74,2738,82,45,3,103,8.67,0
85,74,10740,62,4,1,108,8.42,0
86,87,9486,99,2,2,106,2.5,1
87,64,14209,8,30,3,103,8.44,0
88,59,6395,62,35,3,100,4.39,1
89,90,13474,63,28,1,105,9.48,0
90,43,12954,58,23,3,109,9.75,0
91,34,6324,29,38,2,102,7.97,0
92,87,6316,71,3,2,105,3.49,1
93,86,12654,79,36,1,107,6.5,0
94,52,13440,17,17,3,107,3.41,1
95,81,10517,59,37,3,100,7.81,0
96,32,2896,84,11,1,107,1.74,1
97,51,8877,27,25,2,101,3.98,1
98,54,16282,38,11,2,106,6.71,0
99,90,3678,82,34,2,108,6.75,0
100,91,1408,5,29,3,101,3.12,1
101,78,12125,11,48,3,101,6.2,0
102,41,2772,90,38,3,108,2.6,1
103,37,3061,36,47,1,104,7.77,0
104,54,904,9,39,1,101,7.46,0
105,68,12221,74,6,1,105,1.43,1
106,78,15336,38,31,3,105,1.61,1
107,48,10518,30,20,2,103,3.69,1
108,39,4817,8,46,1,103,2.95,1
109,47,3058,85,31,1,105,4.82,1
110,75,1752,31,9,3,103,5.31,0
111,62,15258,50,19,3,101,1.83,1
112,68,1576,57,22,2,101,6.84,0
113,94,5085,35,32,3,103,4.05,1
114,62,9062,70,28,1,109,2.09,1
115,70,1370,12,47,3,102,8.06,0
116,87,7132,70,45,2,100,9.81,0
117,68,10492,19,41,3,107,3.45,1
118,91,13422,27,40,1,103,5.64,0
119,94,11850,59,2,2,107,8.2,0
120,53,11013,45,48,1,105,6.99,0
121,32,9797,66,25,2,104,2.51,1
122,78,2553,14,38,3,105,4.51,1
123,55,4590,44,19,2,107,9.3,0
124,36,10434,63,35,1,108,6.01,0
125,57,5155,83,45,2,105,3.54,1
126,42,12006,43,12,3,108,8.78,0
127,68,10471,44,15,1,108,9.05,0
128,64,2072,24,16,1,103,3.79,1
129,30,6664,73,34,2,108,3.51,1
130,72,13349,30,38,3,105,2.4,1
131,68,3613,49,1,2,108,3.96,1
132,92,15027,48,8,3,108,2.28,1
133,60,4800,62,9,1,107,5.6,0
134,45,13725,57,48,2,105,6.24,0
135,58,14727,59,42,3,104,1.13,1
136,66,6298,27,14,3,102,1.18,1
137,87,10790,7,29,2,100,3.71,1
138,70,12160,6,37,1,109,9.54,0
139,84,8251,36,49,2,106,6.95,0
140,47,10888,71,26,3,105,1.17,1
141,34,1369,54,12,3,100,6.16,0
142,63,8560,8,1,2,105,2.58,1
143,68,14442,23,22,1,106,2.53,1
144,30,5078,92,7,3,108,1.37,1
145,37,10700,17,14,1,108,9.13,0
146,71,5652,30,21,3,106,3.32,1
147,44,2493,9,5,2,109,4.57,1
148,59,7489,32,43,1,109,9.76,0
149,58,3206,95,14,2,104,3.28,1
150,30,10317,85,22,3,100,7.89,0
151,30,5474,52,1,3,102,9.18,0
152,41,3459,74,36,1,108,7.88,0
153,87,5064,9,14,1,109,2.73,1
154,64,9474,26,17,1,103,1.72,1
155,75,1507,18,10,3,100,6.19,0
156,47,13243,79,33,1,105,7.73,0
157,38,2023,36,41,3,106,9.43,0
158,31,3729,61,21,3,107,7.9,0
159,48,12565,85,2,3,108,7.88,0
160,65,7946,55,20,3,101,3.89,1
161,51,4501,53,49,3,102,4.36,1
162,35,14265,59,4,1,107,3.12,1
163,81,11980,67,14,2,108,1.22,1
164,41,2208,99,29,2,105,6.58,0
165,48,887,8,41,3,109,6.56,0
166,77,5729,41,27,2,100,9.5,0
167,32,12159,98,40,2,101,4.22,1
168,67,15428,89,5,3,102,1.35,1
169,64,3490,26,27,2,108,8.79,0
170,84,4475,42,8,3,103,6.99,0
171,33,11426,63,29,3,103,2.01,1
172,66,15475,32,7,1,109,6.0,0
173,90,5231,84,21,2,109,1.92,1
174,61,11554,37,1,1,101,5.3,0
175,49,2142,99,15,2,109,6.54,0
176,75,16292,32,26,1,106,9.1,0
177,80,13247,38,1,3,100,6.21,0
178,69,10756,80,17,2,106,2.79,1
179,75,7974,67,16,2,108,9.37,0
180,56,15268,37,15,2,101,3.06,1
181,69,10935,10,16,2,109,5.65,0
182,39,12791,81,42,1,108,6.63,0
183,83,4587,12,7,3,104,7.59,0
184,87,6395,88,6,3,107,9.74,0
185,81,5854,79,26,2,100,9.0,0
186,32,8844,63,11,1,104,6.75,0
187,33,15385,75,32,2,100,6.95,0
188,40,10455,56,3,3,102,9.54,0
189,69,6022,91,32,3,109,5.08,0
190,89,7968,19,6,1,101,4.43,1
191,58,10025,16,33,1,103,4.71,1
192,81,15420,20,12,3,103,5.46,0
193,42,8850,85,36,3,109,1.37,1
194,30,16155,70,31,3,106,7.38,0
195,77,10579,87,20,3,100,4.25,1
196,47,4104,8,41,3,102,9.95,0
197,72,8206,67,44,3,105,7.81,0
198,76,4455,70,21,2,104,2.52,1
199,54,7998,33,16,2,104,1.76,1
200,72,9603,77,39,2,102,1.76,1
201,40,4953,47,1,2,101,5.13,0
202,72,7821,39,44,2,100,1.91,1
203,48,13394,12,9,2,103,6.5,0
204,53,13426,35,38,3,107,9.45,0
205,54,12735,82,31,2,100,2.01,1
206,30,7345,34,22,1,106,6.67,0
207,70,11350,36,12,2,107,3.18,1
208,44,7291,82,18,1,106,6.93,0
209,52,1121,75,20,3,100,5.32,0
210,56,13296,67,25,2,106,3.35,1
211,30,4647,15,15,1,102,2.59,1
212,83,2082,26,16,1,109,3.98,1
213,36,11374,34,9,2,106,5.78,0
214,34,7528,51,2,2,101,6.9,0
215,32,4245,59,8,1,102,8.92,0
216,92,9387,39,29,2,104,9.05,0
217,30,1265,33,28,2,105,8.09,0
218,83,5196,27,16,3,108,7.78,0
219,48,13216,31,16,3,100,5.88,0
220,75,8801,60,34,1,100,5.02,0
221,64,1895,77,32,3,100,2.55,1
222,36,5263,55,45,1,106,6.67,0
223,76,15520,94,4,3,104,3.91,1
224,71,2837,8,2,2,104,8.46,0
225,87,8728,41,23,3,107,6.38,0
226,45,9947,37,14,1,101,4.33,1
227,64,14775,13,24,1,107,9.49,0
228,82,6327,45,32,3,105,4.55,1
229,40,16372,85,38,2,100,7.09,0
230,80,14247,58,18,3,104,3.65,1
231,79,1106,91,13,2,100,5.01,0
232,39,3527,88,17,3,106,8.8,0
233,76,6382,78,25,1,106,9.84,0
234,33,1597,27,24,3,103,7.87,0
235,45,6982,69,4,3,108,3.59,1
236,50,13093,35,13,3,102,3.26,1
237,64,9650,51,44,3,109,9.02,0
238,45,4800,28,31,2,102,2.29,1
239,47,12912,51,30,2,104,7.94,0
240,54,3839,13,25,3,102,7.2,0
241,39,15757,13,29,1,107,9.71,0
242,92,3922,15,1,2,109,1.39,1
243,67,6908,72,41,3,104,8.67,0
244,84,8899,15,45,1,101,2.35,1
245,88,12015,22,13,3,109,9.71,0
246,83,616,76,37,3,105,2.68,1
247,45,8903,51,9,2,101,3.01,1
248,76,5931,55,4,3,102,1.38,1
249,60,4322,20,45,2,107,5.78,0
250,59,3853,14,11,3,104,5.78,0
251,87,11594,28,33,1,102,9.53,0
252,75,5324,31,10,1,103,9.85,0
253,85,14313,34,8,3,104,3.95,1
254,86,4997,64,12,2,103,7.12,0
255,30,15325,72,6,2,100,8.16,0
256,62,10248,8,23,3,103,4.32,1
257,47,7488,31,37,1,108,2.81,1
258,38,14799,50,33,1,108,8.21,0
259,46,4517,68,10,2,108,8.53,0
260,53,9796,88,5,2,101,7.12,0
261,46,2551,34,24,1,108,9.04,0
262,81,5069,5,29,2,108,9.3,0
263,62,2539,78,40,1,105,4.01,1
264,52,15777,99,41,1,102,1.15,1
265,50,15556,38,20,1,106,7.98,0
266,56,13084,24,21,2,108,2.03,1
267,49,1400,45,32,1,103,7.42,0
268,80,5360,69,14,2,101,5.15,0
269,60,5362,75,20,2,108,4.58,1
270,46,2615,65,43,1,108,2.06,1
271,56,10377,33,25,1,102,4.84,1
272,35,13252,61,2,1,108,6.23,0
273,31,11413,78,19,1,109,1.6,1
274,55,7325,26,43,1,100,8.56,0
275,44,3460,63,34,2,105,8.18,0
276,41,5567,59,44,2,102,4.19,1
277,35,14453,21,43,3,100,2.87,1
278,64,2065,55,11,2,106,5.28,0
279,36,12934,21,37,3,105,4.62,1
280,71,8731,11,8,3,102,2.93,1
281,42,2629,70,23,2,105,2.07,1
282,45,8344,65,29,2,106,2.59,1
283,53,4717,47,34,2,107,1.52,1
284,87,5447,97,48,3,103,3.0,1
285,31,14405,56,23,3,103,2.07,1
286,41,10806,77,27,3,109,4.12,1
287,34,14597,62,26,3,107,8.05,0
288,41,4156,18,13,3,104,1.59,1
289,73,10419,23,35,1,108,2.51,1
290,41,11339,90,37,1,109,7.78,0
291,68,2802,58,29,1,100,7.84,0
292,85,9720,11,40,2,101,1.25,1
293,74,13425,47,38,3,106,2.57,1
294,30,12616,80,48,2,107,6.23,0
295,30,5616,16,3,3,103,1.19,1
296,30,5603,69,43,1,109,9.76,0
297,84,1796,15,6,2,102,1.6,1
298,61,12453,31,40,1,106,4.47,1
299,88,1039,76,26,3,103,4.36,1
300,90,7756,91,49,2,109,2.42,1
301,74,4579,57,39,3,101,2.81,1
302,74,12914,6,24,2,106,2.31,1
303,63,3470,57,31,1,105,6.33,0
304,68,9062,62,46,1,101,1.87,1
305,57,3947,28,39,1,106,5.57,0
306,94,9029,15,34,2,108,1.22,1
307,65,14733,83,28,1,103,8.09,0
308,84,7769,65,18,3,104,8.29,0
309,70,2771,57,12,1,104,8.17,0
310,49,14740,27,47,2,107,5.19,0
311,88,3656,93,42,2,107,5.18,0
312,47,4769,5,13,1,107,1.42,1
313,43,2314,21,3,3,109,6.75,0
314,64,10254,65,10,2,100,7.62,0
315,75,14237,70,21,2,106,7.19,0
316,90,2139,96,31,2,105,3.55,1
317,38,6149,85,38,1,109,8.17,0
318,65,4602,26,36,1,100,7.0,0
319,78,14575,90,49,2,106,9.31,0
320,57,7610,70,16,1,102,9.64,0
321,65,775,17,6,3,109,5.14,0
322,41,13140,14,17,2,100,8.24,0
323,30,6315,7,31,2,106,8.26,0
324,89,14081,17,19,2,108,5.66,0
325,93,11808,92,37,2,103,3.75,1
326,87,7031,92,21,2,106,5.82,0
327,51,4165,7,42,1,104,1.08,1
328,92,11276,47,48,2,104,7.74,0
329,36,11720,5,16,2,105,6.74,0
330,61,9357,19,1,1,106,9.0,0
331,57,8322,54,18,3,109,4.14,1
332,87,801,26,42,3,104,1.44,1
333,49,11503,24,34,1,107,9.46,0
334,46,4991,98,19,2,101,1.81,1
335,71,13596,13,13,2,108,3.1,1
336,67,6968,34,45,3,103,2.51,1
337,63,8812,53,12,2,109,9.02,0
338,45,6275,78,36,1,101,3.02,1
339,82,5584,62,40,2,105,8.08,0
340,49,7432,55,46,2,107,1.46,1
341,94,9303,58,29,2,108,4.41,1
342,57,6613,41,37,3,103,3.18,1
343,34,10021,60,16,2,108,6.0,0
344,34,7234,62,32,2,108,8.16,0
345,51,12829,47,26,2,105,1.12,1
346,60,1503,50,40,3,101,9.79,0
347,33,11639,41,1,2,103,6.27,0
348,39,590,98,35,1,107,2.86,1
349,64,8890,32,44,2,107,5.62,0
350,69,10050,15,33,3,107,2.67,1
351,65,12844,28,22,3,106,8.21,0
352,60,13323,21,12,2,104,8.91,0
353,50,2924,44,8,1,109,2.3,1
354,74,12940,62,18,2,109,4.24,1
355,64,10055,7,24,1,107,8.86,0
356,46,5756,80,47,1,103,2.41,1
357,76,5425,94,41,1,104,4.71,1
358,83,4323,77,44,3,108,7.27,0
359,59,8197,94,4,3,104,4.58,1
360,60,8582,89,6,2,103,6.95,0
361,49,12127,6,31,1,108,6.37,0
362,77,1005,84,29,2,108,7.19,0
363,76,9420,18,35,3,103,9.49,0
364,51,9758,18,32,1,106,4.89,1
365,85,5398,29,41,2,108,9.97,0
366,93,11920,24,17,2,101,8.76,0
367,48,6553,39,27,1,101,6.62,0
368,94,11054,17,7,1,109,6.06,0
369,30,14158,92,16,3,101,9.76,0
370,43,8527,12,21,3,102,8.62,0
371,47,2306,16,15,3,102,9.9,0
372,61,648,53,29,2,109,1.6,1
373,37,7855,12,43,3,106,6.9,0
374,62,12366,24,17,1,100,5.66,0
375,81,9600,35,16,1,101,5.55,0
376,72,8493,28,18,3,101,8.43,0
377,43,9734,84,38,2,103,7.34,0
378,70,9421,55,45,2,105,7.28,0
379,45,12143,59,3,1,107,3.35,1
380,92,14456,73,26,2,101,3.3,1
381,49,16135,46,25,2,103,1.19,1
382,91,10565,17,46,1,107,8.25,0
383,66,10989,97,39,1,103,8.15,0
384,45,8268,29,3,2,106,2.04,1
385,75,1729,61,42,3,100,4.35,1
386,83,7007,57,23,2,107,8.93,0
387,65,9723,80,28,3,105,7.76,0
388,89,4373,25,5,1,102,5.23,0
389,83,12102,69,10,3,106,7.8,0
390,62,6457,26,26,1,108,4.49,1
391,44,12020,67,11,3,101,6.21,0
392,77,14125,99,10,3,103,6.63,0
393,44,13082,15,5,2,104,6.57,0
394,94,3963,18,19,3,100,8.76,0
395,55,16025,8,33,2,100,8.6,0
396,74,16237,45,11,3,109,9.73,0
397,71,7273,66,8,1,109,9.93,0
398,30,5656,15,4,2,102,2.37,1
399,32,15476,17,29,2,105,4.03,1
400,66,6162,88,33,1,103,2.6,1
401,34,15467,26,36,3,102,2.98,1
402,31,8008,49,28,3,103,5.36,0
403,82,12047,26,31,3,100,8.29,0
404,81,1104,78,45,3,107,1.35,1
405,38,14769,16,36,1,109,7.79,0
406,33,6478,90,41,3,104,7.41,0
407,41,8971,20,15,2,100,1.58,1
408,75,3239,71,4,1,100,2.09,1
409,67,14056,13,45,2,102,5.92,0
410,39,2267,64,38,2,108,3.75,1
411,86,10539,15,8,3,102,5.56,0
412,41,10147,85,23,1,109,9.06,0
413,76,7486,69,45,2,108,7.32,0
414,78,8041,13,30,3,107,3.53,1
415,80,14514,56,34,3,103,3.09,1
416,85,2101,7,19,2,102,7.9,0
417,80,5539,96,8,1,108,1.02,1
418,38,13076,88,11,2,108,9.38,0
419,34,5826,69,27,3,107,7.94,0
420,34,5653,54,31,1,101,7.77,0
421,33,7005,91,7,3,105,5.98,0
422,40,7800,34,45,1,101,8.77,0
423,54,11358,6,34,1,104,8.76,0
424,63,10278,42,20,3,106,5.22,0
425,90,4016,70,29,2,105,8.88,0
426,75,15950,44,29,3,102,4.75,1
427,93,3467,78,32,1,100,4.31,1
428,73,3170,75,23,1,106,9.79,0
429,68,14195,31,9,2,102,1.04,1
430,75,11737,90,3,1,108,7.34,0
431,79,5689,50,23,2,100,1.34,1
432,85,7207,15,49,2,108,3.09,1
433,36,13344,67,22,3,109,3.51,1
434,77,11543,72,45,1,100,5.64,0
435,71,14037,64,33,2,101,1.02,1
436,89,2990,81,17,1,105,4.02,1
437,52,11889,53,37,3,106,6.89,0
438,48,10838,98,32,2,109,5.6,0
439,32,15734,98,37,3,102,6.68,0
440,35,11271,42,4,3,100,1.95,1
441,59,10595,17,18,2,108,7.86,0
442,62,5102,55,22,1,106,2.5,1
443,59,12755,39,31,2,104,1.92,1
444,34,6260,92,16,3,109,4.97,1
445,89,10820,60,17,1,104,8.1,0
446,71,5191,13,2,2,105,4.17,1
447,33,8222,31,21,2,100,2.83,1
448,93,614,78,40,1,104,1.15,1
449,39,15587,24,45,2,109,1.85,1
450,30,5404,43,13,3,108,2.06,1
451,45,8783,37,26,3,109,2.22,1
452,41,9530,83,37,2,102,7.23,0
453,90,13720,82,17,1,106,3.01,1
454,68,12513,22,48,3,105,4.29,1
455,85,7586,71,30,2,107,1.19,1
456,77,3872,19,44,2,101,7.73,0
457,63,8169,50,7,1,107,9.98,0
458,61,8393,15,23,3,105,6.47,0
459,56,15471,92,34,3,103,6.69,0
460,89,15345,74,1,3,107,7.92,0
461,71,4643,68,45,2,104,2.61,1
462,35,715,82,35,1,100,6.21,0
463,86,11642,45,7,1,109,6.94,0
464,37,9542,32,41,2,103,7.03,0
465,47,3237,73,17,3,104,4.06,1
466,59,3263,15,24,1,100,7.07,0
467,75,3692,77,38,2,106,4.61,1
468,56,13634,5,25,2,101,9.32,0
469,72,9238,39,37,1,103,5.09,0
470,44,3036,42,2,1,101,6.82,0
471,58,13547,29,10,1,102,8.75,0
472,36,3097,84,26,2,100,7.03,0
473,74,4038,79,24,1,108,3.64,1
474,81,5601,58,48,3,105,3.3,1
475,94,13353,10,36,2,109,7.66,0
476,69,12098,44,33,2,102,1.27,1
477,38,12027,20,34,2,101,6.41,0
478,63,7360,50,29,2,100,3.66,1
479,80,12866,62,1,2,106,9.48,0
480,39,14772,54,26,2,101,7.48,0
481,82,6016,72,41,1,109,3.74,1
482,42,2352,12,36,1,101,7.77,0
483,44,2107,48,10,1,101,3.55,1
484,85,2320,38,44,2,104,9.07,0
485,61,2450,95,36,2,103,8.79,0
486,68,3172,8,10,2,108,5.28,0
487,32,14251,27,43,3,102,5.53,0
488,33,14614,12,11,1,103,5.36,0
489,78,11333,61,11,2,105,2.4,1
490,67,2995,26,22,2,109,9.16,0
491,87,5508,73,15,2,109,3.89,1
492,70,7930,58,21,3,101,6.98,0
493,65,1749,12,36,2,100,7.18,0
494,51,16371,45,24,2,100,9.72,0
495,77,9097,13,34,1,107,1.49,1
496,60,2046,39,44,3,100,2.12,1
497,62,7475,32,22,1,103,3.1,1
498,34,2317,59,2,2,102,1.49,1
499,88,15407,6,3,2,101,6.77,0
500,85,13691,29,29,2,104,3.2,1
501,88,12913,22,13,1,105,3.76,1
502,91,11841,92,36,3,105,7.12,0
503,63,7142,28,2,1,106,2.72,1
504,93,11409,40,10,3,101,4.64,1
505,54,16353,94,42,2,106,7.0,0
506,39,11052,14,41,3,108,7.14,0
507,61,4255,51,34,3,108,9.33,0
508,30,11425,77,4,1,105,4.73,1
509,57,1492,6,46,3,109,8.3,0
510,40,6905,83,5,3,105,9.72,0
511,74,8850,14,44,1,108,7.72,0
512,91,2922,91,46,2,108,6.14,0
513,43,5165,15,29,1,101,7.64,0
514,83,13565,54,39,1,105,1.8,1
515,51,15780,85,9,2,109,2.48,1
516,31,8427,64,36,1,105,5.26,0
517,57,1202,72,33,1,103,3.4,1
518,45,12691,89,6,2,106,2.87,1
519,61,2604,95,17,2,105,8.45,0
520,61,15117,15,16,3,105,7.39,0
521,62,10174,12,38,2,101,6.83,0
522,60,10777,23,4,3,107,4.38,1
523,90,11963,88,48,3,101,8.0,0
524,83,9087,88,49,3,105,1.35,1
525,57,7158,45,11,1,101,2.26,1
526,91,6802,74,20,3,104,6.86,0
527,36,10455,37,11,2,105,4.37,1
528,46,8461,19,35,3,107,3.63,1
529,93,10910,43,42,2,106,9.84,0
530,79,8876,67,21,3,100,7.38,0
531,35,2444,7,30,2,105,1.69,1
532,33,11869,89,46,2,106,1.09,1
533,34,4286,93,5,3,102,3.43,1
534,61,7585,49,21,3,107,4.49,1
535,64,13959,65,41,3,107,7.63,0
536,45,9851,30,46,3,104,5.21,0
537,46,15108,54,22,1,101,5.06,0
538,58,9122,78,29,3,100,8.84,0
539,85,15563,20,5,3,102,1.78,1
540,55,2560,93,5,1,106,4.55,1
541,87,16014,55,19,2,106,6.62,0
542,34,9024,79,8,3,106,6.65,0
543,66,12495,99,45,1,103,7.28,0
544,59,13861,43,42,1,106,5.81,0
545,85,13925,32,4,2,109,8.38,0
546,81,9518,44,42,3,106,2.96,1
547,43,3939,47,30,2,101,8.17,0
548,56,10149,5,26,3,108,5.46,0
549,89,14174,63,45,2,106,1.61,1
550,34,11100,46,42,2,107,9.26,0
551,90,9440,34,48,3,106,1.18,1
552,60,2621,31,16,2,102,5.69,0
553,78,2550,65,35,2,100,5.57,0
554,51,15454,15,2,3,102,3.93,1
555,62,11050,68,22,2,103,6.21,0
556,62,7358,57,37,1,109,5.91,0
557,94,2041,97,47,2,106,6.99,0
558,87,15396,58,18,3,103,5.44,0
559,81,595,18,8,3,108,6.03,0
560,32,8257,34,26,3,101,1.07,1
561,56,5517,16,35,3,109,2.04,1
562,90,16057,34,29,3,106,9.39,0
563,71,11921,24,49,1,106,9.45,0
564,77,2475,5,42,2,103,5.93,0
565,77,6066,94,12,3,103,1.3,1
566,63,2059,55,26,3,103,2.26,1
567,80,13645,32,20,3,109,6.94,0
568,93,13737,12,10,1,107,4.6,1
569,75,2255,35,2,1,101,3.97,1
570,57,670,13,16,1,104,6.72,0
571,89,3539,78,2,2,107,1.14,1
572,41,13325,32,3,2,106,4.49,1
573,78,2161,68,22,2,106,5.93,0
574,52,10664,20,40,1,104,2.79,1
575,55,4788,88,38,1,104,6.37,0
576,57,12974,93,28,2,106,7.1,0
577,57,15095,33,49,1,108,3.77,1
578,34,9691,54,9,2,109,7.09,0
579,60,6342,61,24,1,101,2.69,1
580,63,8704,15,8,1,102,8.04,0
581,48,12710,93,11,1,105,5.94,0
582,33,1246,69,18,3,103,5.32,0
583,63,15113,40,19,2,105,4.97,1
584,42,1859,31,6,2,104,2.17,1
585,77,3609,67,21,2,103,5.16,0
586,43,11442,35,22,3,106,1.05,1
587,66,8332,80,24,3,104,6.07,0
588,84,1009,8,44,2,104,6.45,0
589,31,8999,35,2,2,105,6.12,0
590,42,9397,66,40,1,101,2.31,1
591,44,4687,84,27,2,107,4.32,1
592,60,2558,21,2,2,109,9.01,0
593,48,10056,49,28,1,103,5.96,0
594,49,10904,71,39,1,107,6.33,0
595,64,10670,21,4,1,101,3.5,1
596,47,7836,42,47,2,106,2.38,1
597,47,7923,75,22,1,103,1.41,1
598,66,8215,87,7,2,107,3.21,1
599,42,15220,24,2,2,107,6.36,0
600,59,8761,86,42,1,107,3.32,1
601,84,14544,52,21,3,106,9.59,0
602,77,2617,30,19,2,102,9.51,0
603,56,10142,78,30,1,108,4.6,1
604,30,5659,94,13,2,106,2.3,1
605,77,9733,5,21,1,106,3.57,1
606,91,1813,99,3,2,109,8.13,0
607,35,6483,78,8,1,102,7.39,0
608,47,4996,47,19,3,106,8.59,0
609,94,9608,95,36,1,100,7.17,0
610,86,14684,36,34,2,105,9.41,0
611,60,7987,44,42,3,101,1.54,1
612,50,3776,49,37,2,103,6.28,0
613,61,7412,82,6,3,105,1.35,1
614,41,3187,36,42,2,108,6.38,0
615,88,12558,79,42,3,106,8.5,0
616,58,5724,74,43,1,100,5.38,0
617,61,10154,82,25,3,101,3.48,1
618,73,2569,85,34,1,107,1.86,1
619,58,7291,30,34,1,105,9.64,0
620,51,9591,95,40,1,107,9.8,0
621,57,705,53,4,3,106,5.76,0
622,66,14661,39,38,1,105,2.61,1
623,62,9484,58,27,1,109,4.53,1
624,35,2598,79,49,3,103,2.62,1
625,71,10815,59,48,3,108,4.5,1
626,50,1405,9,9,1,107,1.16,1
627,64,8351,17,23,1,101,6.71,0
628,31,11036,87,3,3,106,4.08,1
629,79,14708,28,41,3,104,2.14,1
630,50,1322,82,34,2,108,7.32,0
631,72,10763,91,19,2,103,4.65,1
632,44,11205,75,27,1,106,7.77,0
633,67,15041,99,18,2,103,9.32,0
634,67,9809,72,27,1,100,9.76,0
635,38,10902,35,35,1,103,1.55,1
636,76,9318,70,27,3,103,3.43,1
637,58,8305,81,37,1,108,6.73,0
638,82,3014,96,40,1,104,7.73,0
639,88,12838,14,16,3,103,8.95,0
640,38,11438,10,21,1,105,1.37,1
641,63,10526,48,36,1,107,5.92,0
642,73,2163,76,40,1,102,1.98,1
643,40,9608,63,24,2,102,5.8,0
644,85,4914,55,44,3,105,9.92,0
645,88,9980,26,21,1,105,5.8,0
646,68,6168,54,25,2,105,2.67,1
647,41,2733,33,11,3,103,8.5,0
648,74,5557,40,27,1,104,4.74,1
649,89,16265,63,26,2,109,1.76,1
650,87,12039,22,32,1,106,7.51,0
651,75,6222,37,47,3,104,2.89,1
652,38,15266,37,32,1,102,9.55,0
653,78,1173,79,38,2,108,2.14,1
654,41,15815,53,22,3,107,7.54,0
655,36,6992,67,11,3,106,8.23,0
656,81,5677,93,6,2,109,5.48,0
657,78,13307,12,45,3,100,4.53,1
658,39,7410,81,9,1,109,4.14,1
659,57,2318,21,5,2,106,4.89,1
